,Name,Special,Preferred Foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Stamina,Long Shots,Aggression,Interceptions,Positioning,Penalties,Standing Tackle,Sliding Tackle
8389,Michael Carrick,1970,1,70.0,59.0,70.0,87.0,67.0,71.0,68.0,59.0,85.0,79.0,43.0,44.0,57.0,59.0,64.0,62.0,79.0,66.0,64.0,76.0,69.0
8390,Michael Zullo,1838,0,65.0,53.0,46.0,67.0,58.0,65.0,61.0,46.0,56.0,66.0,74.0,76.0,85.0,76.0,49.0,66.0,63.0,62.0,59.0,65.0,63.0
8391,Nicky Law,1793,1,60.0,59.0,50.0,64.0,53.0,64.0,61.0,63.0,60.0,65.0,67.0,69.0,75.0,84.0,56.0,56.0,52.0,63.0,62.0,45.0,42.0
8392,Nicky Maynard,1721,1,55.0,66.0,61.0,59.0,64.0,64.0,69.0,60.0,52.0,64.0,75.0,73.0,77.0,65.0,63.0,61.0,34.0,67.0,64.0,23.0,31.0
8393,Pablo Barrera,1828,1,71.0,64.0,52.0,68.0,60.0,70.0,67.0,64.0,65.0,71.0,73.0,74.0,74.0,60.0,64.0,65.0,48.0,68.0,67.0,52.0,37.0
8394,Pablo Ibáñez Tebar,1579,1,46.0,18.0,70.0,63.0,29.0,44.0,42.0,47.0,54.0,56.0,54.0,51.0,51.0,63.0,37.0,78.0,70.0,20.0,59.0,72.0,69.0
8395,Peter Crouch,1622,1,57.0,75.0,85.0,70.0,83.0,62.0,58.0,50.0,63.0,77.0,31.0,32.0,46.0,31.0,62.0,70.0,27.0,80.0,74.0,26.0,20.0
8396,Piotr Celeban,1679,1,51.0,47.0,73.0,52.0,54.0,52.0,36.0,31.0,55.0,54.0,33.0,47.0,74.0,73.0,46.0,75.0,64.0,61.0,52.0,65.0,64.0
8397,Ragnar Sigurðsson,1602,1,43.0,30.0,72.0,65.0,25.0,37.0,44.0,34.0,61.0,53.0,52.0,53.0,54.0,55.0,50.0,80.0,70.0,31.0,60.0,71.0,69.0
8398,Raúl González Blanco,1924,0,68.0,85.0,53.32599956540634,82.0,84.0,82.0,67.0,71.0,61.0,60.21471053636711,66.0,61.0,76.0,72.0,48.72942840050035,51.0,43.0,88.0,76.0,26.0,21.0
8399,Roger Espinoza,1977,0,64.0,62.0,70.0,68.0,59.0,70.0,69.0,58.0,72.0,69.0,59.0,54.0,70.0,79.0,69.0,89.0,70.0,67.0,60.0,71.0,70.0
8400,Rolf Daniel Vikstøl,1623,0,59.0,39.0,56.0,55.0,49.0,58.0,37.0,38.0,46.0,62.0,62.0,65.0,62.0,74.0,47.0,77.0,64.0,58.0,26.0,61.0,59.0
8401,Rubén Martínez Andrade,1252,1,12.0,14.0,12.0,31.0,11.0,15.0,11.0,28.0,32.0,20.0,44.0,46.0,57.0,41.0,20.0,33.0,18.0,14.0,25.0,13.0,12.0
8402,Rúben Tiago Rodrigues Ribeiro,1975,1,69.0,64.0,63.0,71.0,73.0,83.0,82.0,73.0,64.0,80.0,72.0,69.0,79.0,63.0,71.0,69.0,56.0,67.0,72.0,52.0,40.0
8403,Slobodan Rajković,1577,0,39.0,20.0,75.0,63.0,22.0,51.0,36.0,40.0,59.0,59.0,50.0,63.0,33.0,66.0,45.0,80.0,65.0,32.0,52.0,68.0,69.0
8404,Sven Kums,2030,1,76.0,57.0,52.0,80.0,67.0,73.0,76.0,79.0,78.0,78.0,61.0,53.0,73.0,74.0,76.0,70.0,75.0,66.0,73.0,72.0,68.0
8405,Tim Howard,1221,1,16.0,13.0,12.0,33.0,12.0,13.0,14.0,14.0,32.0,29.0,49.0,39.0,38.0,26.0,15.0,34.0,17.0,13.0,33.0,12.0,14.0
8406,Tom Clarke,1444,1,40.0,21.0,67.0,42.0,35.0,26.0,25.0,21.0,41.0,44.0,50.0,51.0,60.0,65.0,27.0,80.0,68.0,29.0,16.0,70.0,64.0
8408,Xuepeng Li,1917,0,73.0,52.0,67.0,68.0,56.0,65.0,75.0,54.0,66.0,72.0,81.0,81.0,63.0,75.0,58.0,64.0,65.0,66.0,51.0,67.0,63.0
8409,Emre Belözoğlu,2017,0,80.0,66.0,43.0,84.0,69.0,77.0,83.0,80.0,85.0,81.0,54.0,36.0,67.0,51.0,76.0,87.0,62.0,65.0,85.0,65.0,60.0
8411,Gareth Barry,1833,0,73.0,56.0,69.0,75.0,63.0,68.0,76.0,71.0,71.0,73.0,30.0,32.0,33.0,32.0,69.0,74.0,68.0,58.0,72.0,72.0,63.0
8412,Nicolas Anelka,1867,1,74.0,77.0,73.0,74.0,75.0,80.0,76.0,52.0,62.0,79.0,59.0,66.0,72.0,69.0,76.0,56.0,24.0,81.0,80.0,25.0,22.0
8416,Abdel Medioub,1367,1,35.0,23.0,66.0,47.0,26.0,44.0,26.0,33.0,34.0,56.0,52.0,55.0,46.0,59.0,28.0,69.0,58.0,23.0,39.0,71.0,66.0
8417,Alejandro Moreno Morales,1424,1,36.0,70.0,64.0,52.0,54.0,57.0,49.0,41.0,35.0,60.0,50.0,51.0,53.0,56.0,63.0,37.0,16.0,58.0,70.0,15.0,21.0
8419,Andrea Carboni,1350,0,44.0,21.0,53.0,51.0,27.0,42.0,29.0,33.0,45.0,49.0,53.0,54.0,50.0,46.0,26.0,56.0,61.0,29.0,37.0,63.0,60.0
8420,Andreas Bredahl,1320,1,38.0,55.0,47.0,51.0,40.0,46.0,43.0,37.0,38.0,48.0,67.0,69.0,62.0,52.0,48.0,34.0,20.0,54.0,43.0,22.0,17.0
8421,Andy Pembélé,1498,1,49.0,55.0,48.0,55.0,49.0,65.0,55.0,47.0,44.0,63.0,78.0,76.0,75.0,54.0,46.0,46.0,22.0,58.0,53.0,27.0,24.0
8422,Ben Hough,1315,1,38.0,42.0,40.0,56.0,35.0,46.0,40.0,35.0,50.0,48.0,63.0,64.0,61.0,43.0,30.0,40.0,23.0,47.0,36.0,44.0,40.0
8423,Charlie Barker,1407,1,48.0,34.0,51.0,50.0,28.0,47.0,39.0,25.0,43.0,45.0,65.0,66.0,64.0,64.0,32.0,51.0,53.0,45.0,32.0,57.0,55.0
8424,David Larrubia Romano,1572,0,57.0,52.0,35.0,64.0,50.0,65.0,62.0,52.0,62.0,65.0,68.0,62.0,77.0,48.0,58.0,44.0,30.0,57.0,54.0,30.0,35.0
8425,Dickson Abiama,1346,1,31.0,62.0,56.0,42.0,46.0,53.0,34.0,30.0,30.0,52.0,72.0,74.0,60.0,54.0,56.0,26.0,14.0,58.0,62.0,14.0,16.0
8426,Dženan Bureković,1885,0,71.0,47.0,51.0,65.0,56.0,67.0,73.0,74.0,65.0,64.0,71.0,75.0,70.0,74.0,74.0,65.0,61.0,62.0,50.0,69.0,67.0
8427,Eduardo Torres,1631,1,68.0,40.0,47.0,63.0,40.0,50.0,60.0,50.0,67.0,62.0,60.0,60.0,55.0,60.0,45.0,59.0,57.0,50.0,50.0,60.0,62.0
8428,Erol Alkan,1283,1,20.0,19.0,62.0,42.0,27.0,32.0,26.0,29.0,29.0,39.0,52.0,55.0,40.0,59.0,23.0,68.0,53.0,28.0,35.0,63.0,60.0
8429,Evann Guessand,1489,1,48.0,64.0,64.0,55.0,59.0,59.0,52.0,49.0,47.0,62.0,63.0,68.0,64.0,49.0,56.0,56.0,12.0,65.0,61.0,21.0,18.0
8430,Eñaut Mendia Berasategi,1415,1,23.0,62.0,71.0,47.0,55.0,55.0,45.0,52.0,22.0,52.0,61.0,69.0,53.0,58.0,52.0,47.0,17.0,57.0,61.0,22.0,23.0
8431,Fabiano Parisi,1657,0,60.0,55.0,44.0,60.0,60.0,60.0,60.0,68.0,44.0,55.0,65.0,65.0,65.0,68.0,65.0,50.0,54.0,51.0,55.0,61.0,61.0
8432,Felice D'Amico,1505,1,62.0,62.0,45.0,58.0,51.0,64.0,53.0,49.0,46.0,65.0,69.0,69.0,67.0,47.0,59.0,39.0,24.0,60.0,57.0,32.0,28.0
8433,Felipe Micael Tenorio Menezes,1519,0,45.0,66.0,48.0,52.0,63.0,57.0,52.0,49.0,32.0,59.0,82.0,79.0,81.0,57.0,61.0,32.0,15.0,60.0,64.0,19.0,16.0
8434,Festus Arthur,1283,1,27.0,24.0,63.0,30.0,26.0,31.0,24.0,23.0,34.0,36.0,62.0,59.0,42.0,63.0,21.0,74.0,54.0,22.0,33.0,63.0,55.0
8435,Florian Palmowski,1011,1,16.0,13.0,18.0,31.0,14.0,19.0,16.0,15.0,24.0,25.0,34.0,29.0,26.0,22.0,13.0,30.0,12.0,12.0,18.0,15.0,15.0
8436,Gerson Vázquez,1458,1,47.0,53.0,52.0,57.0,53.0,60.0,57.0,37.0,51.0,55.0,72.0,72.0,77.0,40.0,43.0,37.0,23.0,55.0,54.0,24.0,23.0
8437,Guillem Molina Gutiérrez,1522,1,44.0,25.0,68.0,62.0,28.0,32.0,40.0,19.0,61.0,59.0,66.0,66.0,62.0,70.0,31.0,64.0,70.0,29.0,36.0,70.0,66.0
8438,Ibrahima Kébé,1623,1,45.0,35.0,60.0,65.0,41.0,55.0,37.0,33.0,62.0,58.0,62.0,67.0,58.0,66.0,47.0,72.0,61.0,46.0,42.0,62.0,57.0
8439,Ilmari Niskanen,1649,0,61.0,62.0,39.0,61.0,53.0,64.0,68.0,66.0,54.0,63.0,68.0,67.0,72.0,64.0,66.0,44.0,29.0,58.0,49.0,28.0,28.0
8440,Jake Hutchinson,1411,1,42.0,56.0,49.0,42.0,54.0,52.0,50.0,47.0,39.0,53.0,68.0,66.0,65.0,64.0,53.0,49.0,18.0,53.0,57.0,15.0,13.0
8441,James Belshaw,863,1,12.0,9.0,10.0,20.0,7.0,9.0,12.0,11.0,15.0,11.0,28.0,28.0,39.0,20.0,5.0,27.0,7.0,8.0,14.0,11.0,11.0
8442,James Jones,1310,1,29.0,35.0,50.0,49.0,20.0,50.0,27.0,23.0,45.0,48.0,65.0,67.0,52.0,60.0,19.0,46.0,50.0,25.0,34.0,54.0,51.0
8443,Jesús Manuel Carrillo Martínez,1604,0,54.0,55.0,31.0,65.0,32.0,63.0,33.0,41.0,63.0,61.0,71.0,69.0,64.0,57.0,60.0,57.0,63.0,60.0,35.0,55.0,51.0
8444,Joel Dixon,984,1,15.0,10.0,14.0,43.0,7.0,17.0,15.0,17.0,40.0,19.0,25.0,35.0,23.0,30.0,9.0,20.0,14.0,8.0,25.0,15.0,13.0
8445,Josh Atencio,1376,1,35.0,30.0,52.0,58.0,28.0,42.0,35.0,28.0,46.0,51.0,60.0,65.0,52.0,50.0,27.0,61.0,53.0,31.0,38.0,55.0,53.0
8446,Julián Aude,1548,0,51.0,37.0,49.0,48.0,39.0,73.0,33.0,38.0,43.0,66.0,74.0,70.0,75.0,64.0,47.0,55.0,54.0,53.0,42.0,56.0,62.0
8447,Jusuf Gazibegović,1579,1,62.0,26.0,52.0,60.0,23.0,55.0,43.0,46.0,57.0,57.0,72.0,70.0,74.0,57.0,33.0,61.0,58.0,46.0,36.0,62.0,61.0
8448,Kaloyan Kostadinov,1518,0,46.0,45.0,44.0,61.0,44.0,58.0,52.0,42.0,55.0,56.0,70.0,66.0,73.0,64.0,38.0,43.0,45.0,47.0,46.0,50.0,51.0
8449,Kyle Munro,1384,0,48.0,31.0,42.0,49.0,36.0,48.0,47.0,40.0,45.0,49.0,69.0,64.0,59.0,49.0,40.0,52.0,38.0,48.0,44.0,47.0,49.0
8450,Lewis Jamieson,1326,1,30.0,55.0,67.0,51.0,38.0,42.0,35.0,27.0,35.0,50.0,64.0,61.0,52.0,63.0,62.0,32.0,17.0,52.0,55.0,14.0,17.0
8451,Liam Gordon,1350,0,48.0,21.0,40.0,44.0,23.0,48.0,35.0,32.0,40.0,45.0,80.0,80.0,65.0,68.0,20.0,45.0,44.0,43.0,34.0,56.0,53.0
8452,Matěj Hybš,1814,0,72.0,51.0,65.0,67.0,52.0,69.0,60.0,41.0,65.0,70.0,74.0,73.0,63.0,70.0,44.0,70.0,64.0,61.0,52.0,66.0,70.0
8453,Maxim Gresler,1253,0,34.0,30.0,43.0,30.0,26.0,49.0,29.0,25.0,28.0,34.0,61.0,62.0,67.0,61.0,23.0,52.0,50.0,40.0,32.0,48.0,50.0
8454,Mert-Yusuf Torlak,1439,1,53.0,45.0,34.0,56.0,44.0,62.0,60.0,45.0,52.0,61.0,64.0,63.0,52.0,40.0,50.0,40.0,27.0,45.0,51.0,29.0,36.0
8455,Million Manhoef,1599,0,55.0,44.0,47.0,60.0,48.0,63.0,58.0,46.0,58.0,61.0,64.0,57.0,64.0,62.0,42.0,59.0,52.0,51.0,43.0,52.0,53.0
8456,Miroslav Káčer,1866,1,59.0,58.0,61.0,70.0,55.0,69.0,61.0,59.0,69.0,69.0,60.0,66.0,66.0,74.0,61.0,71.0,65.0,64.0,58.0,64.0,64.0
8457,Ryan Malone,1391,1,25.0,28.0,59.0,54.0,28.0,30.0,26.0,28.0,51.0,40.0,63.0,66.0,51.0,65.0,23.0,66.0,55.0,30.0,32.0,69.0,67.0
8458,Shahryiar Moghanlou,1508,0,39.0,71.0,71.0,53.0,48.0,63.0,44.0,61.0,33.0,58.0,73.0,74.0,56.0,56.0,62.0,33.0,16.0,58.0,66.0,14.0,21.0
8459,Teddy Jenks,1543,1,48.0,44.0,55.0,56.0,41.0,53.0,49.0,48.0,55.0,54.0,52.0,54.0,54.0,64.0,47.0,64.0,55.0,50.0,42.0,57.0,58.0
8460,Umut Ünlü,1310,0,45.0,22.0,46.0,29.0,22.0,55.0,31.0,28.0,30.0,43.0,66.0,70.0,57.0,58.0,31.0,52.0,52.0,43.0,33.0,52.0,53.0
8461,Warren Burrell,1481,1,52.0,29.0,51.0,50.0,20.0,52.0,34.0,27.0,46.0,51.0,69.0,70.0,65.0,73.0,27.0,52.0,55.0,51.0,39.0,57.0,56.0
8462,Yevgen Cheberko,1601,0,62.0,26.0,64.0,60.0,22.0,47.0,45.0,37.0,57.0,61.0,67.0,69.0,74.0,70.0,32.0,74.0,68.0,38.0,33.0,70.0,69.0
8464,Admonio Vicente Gomes,1428,1,36.0,29.0,65.0,55.0,34.0,35.0,31.0,34.0,42.0,47.0,62.0,60.0,49.0,61.0,31.0,59.0,59.0,24.0,39.0,71.0,69.0
8465,Amine Adli,1519,0,58.0,60.0,48.0,70.0,49.0,70.0,54.0,49.0,56.0,69.0,70.0,70.0,56.0,38.0,39.0,35.0,24.0,57.0,66.0,35.0,35.0
8466,Anton Rücker,1312,1,32.0,28.0,56.0,37.0,31.0,32.0,31.0,30.0,30.0,40.0,58.0,55.0,45.0,55.0,29.0,48.0,61.0,30.0,40.0,64.0,62.0
8468,Bastian Badu,1394,0,32.0,62.0,66.0,52.0,41.0,55.0,50.0,36.0,39.0,51.0,63.0,61.0,60.0,44.0,59.0,29.0,20.0,56.0,61.0,17.0,15.0
8469,Can Coskun,1649,0,61.0,53.0,46.0,58.0,36.0,61.0,54.0,40.0,57.0,58.0,76.0,68.0,64.0,75.0,49.0,53.0,56.0,58.0,49.0,57.0,55.0
8470,Carlos Marín Tomás,895,1,11.0,8.0,15.0,26.0,9.0,15.0,13.0,14.0,24.0,16.0,23.0,31.0,20.0,24.0,6.0,18.0,12.0,8.0,15.0,12.0,16.0
8471,Carlos Kevin Omoruyi Benjamin,1444,1,36.0,64.0,60.0,58.0,54.0,58.0,38.0,29.0,41.0,59.0,54.0,56.0,57.0,59.0,49.0,59.0,20.0,54.0,57.0,21.0,26.0
8472,Connor van den Berg,829,1,12.0,7.0,11.0,20.0,5.0,6.0,14.0,10.0,21.0,10.0,28.0,18.0,28.0,18.0,8.0,25.0,13.0,5.0,15.0,10.0,13.0
8473,Conor Noß,1559,1,48.0,53.0,42.0,63.0,48.0,74.0,58.0,49.0,63.0,70.0,78.0,67.0,78.0,48.0,44.0,44.0,29.0,45.0,57.0,39.0,32.0
8474,Dalibor Velimirovic,1618,1,36.0,52.0,45.0,59.0,34.0,66.0,44.0,34.0,57.0,69.0,63.0,55.0,71.0,69.0,59.0,65.0,60.0,42.0,40.0,63.0,59.0
8475,Damian Rivera,1389,1,55.0,62.0,35.0,57.0,38.0,70.0,35.0,39.0,34.0,68.0,70.0,69.0,60.0,40.0,31.0,27.0,23.0,61.0,64.0,24.0,22.0
8476,Daniel Saggiomo,1704,1,70.0,64.0,54.0,66.0,49.0,66.0,62.0,61.0,60.0,70.0,69.0,72.0,68.0,72.0,71.0,39.0,39.0,70.0,40.0,44.0,39.0
8477,David Sánchez Mallo,1763,0,60.0,56.0,61.0,67.0,49.0,63.0,57.0,50.0,68.0,61.0,69.0,70.0,68.0,75.0,52.0,67.0,48.0,57.0,51.0,52.0,67.0
8478,Eden Shamir,1857,1,42.0,62.0,78.0,69.0,57.0,65.0,56.0,51.0,68.0,70.0,67.0,64.0,63.0,79.0,65.0,67.0,68.0,64.0,45.0,69.0,62.0
8479,Edi Maurício Sanches Semedo,1462,1,59.0,54.0,44.0,55.0,46.0,68.0,47.0,49.0,47.0,66.0,87.0,86.0,76.0,55.0,49.0,31.0,22.0,57.0,30.0,20.0,22.0
8480,Eli Dasa,1851,1,67.0,47.0,55.0,66.0,54.0,67.0,67.0,42.0,61.0,68.0,80.0,80.0,72.0,74.0,57.0,66.0,65.0,66.0,40.0,68.0,66.0
8481,Erickson Gallardo,1666,1,63.0,61.0,53.0,65.0,48.0,70.0,66.0,48.0,55.0,66.0,86.0,81.0,85.0,56.0,57.0,42.0,24.0,62.0,53.0,33.0,21.0
8482,Filip Stojilković,1429,1,33.0,59.0,58.0,48.0,47.0,55.0,42.0,45.0,30.0,55.0,62.0,55.0,63.0,58.0,54.0,52.0,23.0,56.0,64.0,19.0,15.0
8483,Francesco Lo Celso,1654,0,56.0,48.0,51.0,72.0,54.0,62.0,60.0,55.0,65.0,63.0,66.0,69.0,68.0,52.0,52.0,55.0,36.0,61.0,61.0,46.0,58.0
8484,Guillermo Centurión,993,1,10.0,8.0,12.0,19.0,5.0,9.0,12.0,12.0,17.0,14.0,28.0,23.0,31.0,40.0,6.0,17.0,14.0,5.0,10.0,11.0,10.0
8485,Haithem Loucif,1622,1,65.0,37.0,51.0,61.0,37.0,69.0,58.0,34.0,43.0,68.0,69.0,66.0,67.0,62.0,35.0,64.0,63.0,55.0,48.0,70.0,66.0
8486,Hugo Martínez,1637,1,49.0,33.0,44.0,71.0,28.0,64.0,37.0,35.0,67.0,73.0,70.0,62.0,60.0,61.0,55.0,51.0,69.0,53.0,45.0,64.0,62.0
8487,Isidro Pitta,1405,1,36.0,69.0,66.0,44.0,61.0,54.0,41.0,30.0,21.0,61.0,62.0,67.0,55.0,48.0,60.0,44.0,17.0,61.0,45.0,20.0,21.0
8488,Ivan Mesík,1524,0,50.0,28.0,57.0,65.0,31.0,51.0,51.0,28.0,61.0,60.0,62.0,67.0,57.0,61.0,27.0,60.0,57.0,44.0,30.0,59.0,57.0
8489,Iván Salazar,1540,0,52.0,52.0,44.0,62.0,39.0,61.0,44.0,39.0,60.0,53.0,91.0,92.0,89.0,73.0,42.0,39.0,21.0,55.0,40.0,27.0,31.0
8490,Javier Castro Urdín,1357,1,29.0,25.0,62.0,55.0,32.0,28.0,26.0,30.0,37.0,48.0,57.0,64.0,45.0,50.0,24.0,54.0,59.0,27.0,45.0,70.0,69.0
8491,Jayden Sweeney,1314,0,39.0,25.0,39.0,40.0,27.0,43.0,30.0,31.0,25.0,40.0,73.0,69.0,76.0,59.0,26.0,51.0,49.0,41.0,37.0,50.0,48.0
8492,Jeremy Cijntje,1585,1,58.0,60.0,57.0,58.0,56.0,70.0,53.0,47.0,50.0,67.0,85.0,90.0,86.0,55.0,52.0,29.0,19.0,61.0,59.0,28.0,29.0
8493,Jonatan Carmona Álamo,1551,1,47.0,36.0,58.0,67.0,41.0,59.0,41.0,45.0,66.0,55.0,54.0,64.0,55.0,46.0,41.0,60.0,49.0,33.0,55.0,58.0,63.0
8495,Jorge Pinos,978,1,14.0,10.0,14.0,18.0,10.0,11.0,13.0,12.0,15.0,13.0,31.0,15.0,39.0,20.0,10.0,25.0,13.0,10.0,10.0,13.0,13.0
8496,Joseph Starbuck,1424,1,43.0,40.0,39.0,53.0,42.0,50.0,46.0,37.0,48.0,52.0,68.0,66.0,63.0,56.0,38.0,56.0,38.0,45.0,38.0,49.0,47.0
8497,Josh March,1458,1,34.0,59.0,57.0,51.0,51.0,55.0,42.0,45.0,38.0,57.0,68.0,72.0,67.0,65.0,53.0,41.0,14.0,58.0,62.0,14.0,18.0
8498,José Sánchez Martínez,1567,1,34.0,31.0,63.0,62.0,40.0,40.0,35.0,24.0,65.0,58.0,60.0,66.0,56.0,50.0,68.0,63.0,57.0,31.0,50.0,59.0,61.0
8499,Juan David Mosquera,1474,1,57.0,31.0,38.0,54.0,30.0,58.0,40.0,31.0,44.0,54.0,70.0,74.0,65.0,70.0,28.0,55.0,52.0,49.0,32.0,59.0,60.0
8500,Kevin Alaníz,1407,1,47.0,51.0,37.0,56.0,35.0,49.0,37.0,51.0,49.0,58.0,69.0,70.0,68.0,70.0,47.0,29.0,18.0,56.0,40.0,26.0,27.0
8501,Maciej Żurawski,1602,1,49.0,53.0,49.0,60.132580099339556,38.0,57.0,57.0,41.0,57.0,61.0,69.0,67.0,53.0,63.02548676438416,48.72942840050035,56.0,46.793920939590016,51.943673469387754,43.0,54.0,53.0
8502,Marcio Augusto Da Silva Barbosa,1626,1,54.0,61.0,52.0,55.0,62.0,65.0,46.0,53.0,50.0,68.0,73.0,74.0,65.0,64.0,59.0,52.0,22.0,64.0,64.0,34.0,33.0
8503,Mateo Flores,1301,1,32.0,27.0,48.0,52.0,32.0,45.0,31.0,32.0,47.0,43.0,55.0,59.0,59.0,47.0,33.0,57.0,45.0,30.0,35.0,41.0,45.0
8504,Maximiliano Araújo,1561,0,56.0,30.0,53.0,56.0,28.0,63.0,52.0,40.0,48.0,60.0,82.0,79.0,78.0,36.0,35.0,64.0,66.0,52.0,38.0,55.0,55.0
8505,Miguel Jacquet,1488,1,35.0,32.0,68.0,65.0,40.0,38.0,39.0,26.0,42.0,59.0,60.0,65.0,47.0,57.0,30.0,64.0,68.0,31.0,40.0,70.0,65.0
8506,Miguel Ángel Benítez,1854,0,69.0,57.0,59.0,62.0,41.0,70.0,64.0,54.0,58.0,62.0,71.0,65.0,75.0,72.0,65.0,70.0,57.0,71.0,70.0,61.0,58.0
8507,Nicolas Meister,1610,1,63.0,60.0,42.0,64.0,56.0,64.0,53.0,51.0,58.0,64.0,76.0,71.0,75.0,43.0,61.0,53.0,21.0,60.0,58.0,34.0,37.0
8508,Pape Habib Gueye,1582,1,52.0,64.0,55.0,56.0,61.0,68.0,58.0,45.0,40.0,66.0,73.0,74.0,76.0,61.0,59.0,52.0,19.0,58.0,64.0,19.0,12.0
8509,Ramiro Quintana,1455,1,52.0,57.0,62.0,55.0,62.0,63.0,36.0,34.0,33.0,63.0,65.0,62.0,63.0,52.0,65.0,29.0,21.0,68.0,47.0,19.0,12.0
8510,Ramiz Zerrouki,1601,1,51.0,51.0,45.0,64.0,51.0,65.0,58.0,53.0,65.0,64.0,70.0,74.0,59.0,39.0,43.0,43.0,47.0,56.0,57.0,49.0,52.0
8511,Ricardo Alves,1476,1,43.0,34.0,48.0,60.0,34.0,53.0,41.0,36.0,59.0,54.0,65.0,69.0,58.0,61.0,40.0,46.0,45.0,53.0,44.0,49.0,48.0
8512,Ronaldo Rivas,1587,1,58.0,50.0,55.0,63.0,29.0,62.0,51.0,31.0,62.0,64.0,76.0,76.0,72.0,70.0,35.0,54.0,57.0,58.0,33.0,58.0,55.0
8513,Sebastián Ramírez,1512,1,61.0,53.0,40.0,52.0,48.0,65.0,55.0,46.0,50.0,62.0,68.0,73.0,67.0,69.0,48.0,33.0,25.0,59.0,50.0,35.0,30.0
8514,Simen Bolkan Nordli,1730,1,57.0,61.0,43.0,66.0,53.0,66.0,65.0,61.0,61.0,66.0,68.0,62.0,67.0,73.0,66.0,46.0,57.0,62.0,61.0,63.0,49.0
8515,Stanislav Magkeev,1465,1,32.0,30.0,59.0,61.0,36.0,34.0,34.0,20.0,45.0,47.0,60.0,63.0,48.0,68.0,27.0,67.0,73.0,26.0,47.0,66.0,64.0
8516,Stavros Vasilantonopoulos,1714,1,61.0,54.0,53.0,56.0,44.0,57.0,56.0,47.0,54.0,58.0,78.0,79.0,77.0,90.0,51.0,68.0,57.0,57.0,40.0,65.0,66.0
8517,Sven Mijnans,1585,0,49.0,45.0,51.0,59.0,46.0,56.0,40.0,46.0,57.0,59.0,75.0,65.0,68.0,61.0,46.0,59.0,41.0,55.0,45.0,55.0,51.0
8518,Terrell Egbri,1458,1,49.0,50.0,40.0,49.0,44.0,59.0,46.0,30.0,44.0,56.0,83.0,82.0,91.0,63.0,46.0,34.0,24.0,40.0,53.0,30.0,35.0
8519,Thibault Tamas,1386,0,53.0,28.0,55.0,37.0,31.0,46.0,33.0,29.0,35.0,45.0,68.0,72.0,63.0,63.0,27.0,49.0,57.0,26.0,42.0,60.0,60.0
8520,Thomas Oluwa,1364,1,33.0,53.0,45.0,46.0,41.0,50.0,39.0,36.0,41.0,49.0,74.0,78.0,64.0,50.0,48.0,51.0,21.0,53.0,49.0,19.0,18.0
8521,Wilfried Singo,1357,1,37.0,28.0,63.0,45.0,34.0,39.0,28.0,31.0,41.0,42.0,55.0,61.0,58.0,53.0,24.0,54.0,61.0,25.0,46.0,70.0,68.0
8522,Yago Gandoy Martínez,1687,0,50.0,35.0,56.0,69.0,43.0,54.0,42.0,47.0,68.0,65.0,68.0,73.0,61.0,75.0,43.0,66.0,63.0,45.0,52.0,68.0,70.0
8523,Abdoul-Kader Bamba,1761,1,64.0,65.0,52.0,70.0,51.0,79.0,61.0,64.0,69.0,74.0,80.0,80.0,72.0,59.0,64.0,43.0,30.0,66.0,57.0,43.0,51.0
8524,Adrián Jusino,1336,1,34.0,21.0,72.0,35.0,30.0,36.0,34.0,24.0,25.0,52.0,43.0,52.0,36.0,77.0,22.0,47.0,58.0,22.0,40.0,67.0,66.0
8525,Aidan Fitzpatrick,1516,0,60.0,54.0,41.0,55.0,49.0,63.0,57.0,47.0,51.0,62.0,76.0,79.0,71.0,43.0,47.0,35.0,20.0,56.0,55.0,36.0,33.0
8526,Andre Reynolds II,1417,0,49.0,27.0,45.0,55.0,26.0,53.0,47.0,25.0,51.0,50.0,70.0,68.0,69.0,60.0,30.0,47.0,53.0,51.0,31.0,55.0,54.0
8527,Angelo Campos,1338,1,31.0,55.0,49.0,47.0,42.0,53.0,37.0,29.0,32.0,53.0,71.0,67.0,65.0,56.0,46.0,37.0,12.0,59.0,50.0,19.0,15.0
8528,Beder Caicedo,1758,0,70.0,51.0,59.0,62.0,40.0,46.0,55.0,49.0,56.0,63.0,86.0,88.0,75.0,71.0,46.0,64.0,67.0,45.0,49.0,63.0,62.0
8529,Brandon Aveiro,1483,1,43.0,60.0,43.0,51.0,53.0,64.0,59.0,50.0,50.0,63.0,74.0,65.16445318904738,76.0,51.0,52.0,34.0,21.0,47.0,52.0,27.0,25.0
8530,Brayan Vera,1457,0,51.0,35.0,57.0,54.0,29.0,45.0,42.0,32.0,46.0,54.0,62.0,68.0,61.0,53.0,39.0,63.0,58.0,29.0,38.0,61.0,57.0
8531,Charlie Carter,1560,1,45.0,45.0,40.0,61.0,43.0,61.0,57.0,51.0,58.0,62.0,71.0,66.0,70.0,72.0,48.0,42.0,42.0,49.0,47.0,49.0,42.0
8532,Chase Gasper,1462,1,58.0,28.0,43.0,56.0,29.0,59.0,24.0,21.0,55.0,58.0,66.0,68.0,44.0,68.0,34.0,61.0,60.0,21.0,34.0,66.0,65.0
